player_name,stats
 Wilt Chamberlain,"{'games_played': 1045, 'points_per_game': 30.1, 'rebounds_per_game': 22.9, 'assists_per_game': 4.4}"
 Kobe Bryant,"{'games_played': 1346, 'points_per_game': 25.0, 'rebounds_per_game': 5.2, 'assists_per_game': 4.7}"
 Billy Cunningham,"{'games_played': 770, 'points_per_game': 21.2, 'rebounds_per_game': 10.4, 'assists_per_game': 4.3}"
 Al Cervi,"{'games_played': 202, 'points_per_game': 7.9, 'rebounds_per_game': 1.8, 'assists_per_game': 3.2}"
 Carl Braun,"{'games_played': 788, 'points_per_game': 13.5, 'rebounds_per_game': 3.4, 'assists_per_game': 3.7}"
 Chuck Cooper,"{'games_played': 409, 'points_per_game': 6.7, 'rebounds_per_game': 5.9, 'assists_per_game': 1.8}"
 Bob Cousy,"{'games_played': 924, 'points_per_game': 18.4, 'rebounds_per_game': 5.2, 'assists_per_game': 7.5}"
 Larry Bird,"{'games_played': 897, 'points_per_game': 24.3, 'rebounds_per_game': 10.0, 'assists_per_game': 6.3}"
 Dave Cowens,"{'games_played': 766, 'points_per_game': 17.6, 'rebounds_per_game': 13.6, 'assists_per_game': 3.8}"
 Larry Brown,"{'games_played': 376, 'points_per_game': 11.2, 'rebounds_per_game': 2.7, 'assists_per_game': 6.7}"
 Elgin Baylor,"{'games_played': 846, 'points_per_game': 27.4, 'rebounds_per_game': 13.5, 'assists_per_game': 4.3}"
 Rick Barry,"{'games_played': 1020, 'points_per_game': 24.8, 'rebounds_per_game': 6.7, 'assists_per_game': 4.9}"
 Dave Bing,"{'games_played': 901, 'points_per_game': 20.3, 'rebounds_per_game': 3.8, 'assists_per_game': 6.0}"
 Roger Brown,"{'games_played': 605, 'points_per_game': 17.4, 'rebounds_per_game': 6.2, 'assists_per_game': 3.8}"
 Bill Bradley,"{'games_played': 742, 'points_per_game': 12.4, 'rebounds_per_game': 3.2, 'assists_per_game': 3.4}"
 Charles Barkley,"{'games_played': 1073, 'points_per_game': 22.1, 'rebounds_per_game': 11.7, 'assists_per_game': 3.9}"
 Ray Allen,"{'games_played': 1300, 'points_per_game': 18.9, 'rebounds_per_game': 4.1, 'assists_per_game': 3.4}"
 Zelmo Beaty,"{'games_played': 889, 'points_per_game': 17.1, 'rebounds_per_game': 10.9, 'assists_per_game': 1.5}"
 Don Barksdale,"{'games_played': 262, 'points_per_game': 11.0, 'rebounds_per_game': 8.0, 'assists_per_game': 2.1}"
 Walt Bellamy,"{'games_played': 1043, 'points_per_game': 20.1, 'rebounds_per_game': 13.7, 'assists_per_game': 2.4}"
 Paul Arizin,"{'games_played': 713, 'points_per_game': 22.8, 'rebounds_per_game': 8.6, 'assists_per_game': 2.3}"
 Maurice Cheeks,"{'games_played': 1101, 'points_per_game': 11.1, 'rebounds_per_game': 2.8, 'assists_per_game': 6.7}"
 Al Attles,"{'games_played': 711, 'points_per_game': 8.9, 'rebounds_per_game': 3.5, 'assists_per_game': 3.5}"
 Tiny Archibald,"{'games_played': 876, 'points_per_game': 18.8, 'rebounds_per_game': 2.3, 'assists_per_game': 7.4}"
